Year,Country,Age dependency ratio (% of working-age population),"Agriculture, forestry, and fishing, value added (annual % growth)",Corporate Tax Rate,Current account balance,Employment,Exports of goods and services (annual % growth),GDP growth (annual %),GDP per capita growth (annual %),"GDP per capita, PPP (current international $)",General government gross debt,General government net debt,General government net lending/borrowing,General government primary net lending/borrowing,General government revenue,General government total expenditure,Gross capital formation (annual % growth),"Gross domestic product, current prices",Gross national savings,Imports of goods and services (annual % growth),"Industry (including construction), value added (% of GDP)","Industry (including construction), value added (annual % growth)","Inflation, average consumer prices","Manufacturing, value added (% of GDP)","Manufacturing, value added (annual % growth)",Merchandise exports (current US$),Merchandise imports (current US$),"Official exchange rate (LCU per US$, period average)",Population,Population growth (annual %),Real interest rate (%),"Services, value added (% of GDP)","Services, value added (annual % growth)","Tariff rate, applied, simple mean, all products (%)",Total investment,Total natural resources rents (% of GDP),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),Volume of exports of goods and services,Volume of imports of goods and services
1980,174,0,0,69,120,26,0,0,0,0,11,5,25,17,27,26,0,131,117,0,89,0,124,73,0,0,0,141,128,0,0,80,0,0,108,0,0,170,103,103
1981,174,0,0,77,121,27,0,0,0,0,11,5,29,17,32,30,0,132,119,0,92,0,125,75,0,0,0,141,129,0,0,81,0,0,112,0,0,170,110,109
1982,174,0,0,77,121,27,0,0,0,0,12,6,33,19,35,34,0,132,119,0,92,0,125,75,0,0,0,141,129,0,0,81,0,0,112,0,0,170,112,111
1983,174,0,0,76,121,28,0,0,0,0,12,7,36,21,38,37,0,132,120,0,94,0,126,78,0,0,0,142,129,0,0,84,0,0,113,0,0,170,113,112
1984,174,0,0,76,122,28,0,0,0,0,13,8,37,23,39,38,0,132,120,0,94,0,126,78,0,0,0,141,129,0,0,86,0,0,115,0,0,170,113,112
1985,174,0,0,76,123,28,0,0,0,0,15,9,43,30,45,44,0,133,120,0,95,0,126,79,0,0,0,141,130,0,0,87,0,0,115,0,0,170,112,109
1986,174,0,0,76,123,29,0,0,0,0,15,9,44,31,46,45,0,134,121,0,97,0,127,81,0,0,0,142,131,0,0,89,0,0,116,0,0,170,113,112
1987,174,0,0,77,124,29,0,0,0,0,15,9,44,32,46,45,0,134,121,0,99,0,127,82,0,0,0,142,131,0,0,92,0,0,116,0,0,170,114,112
1988,174,0,0,82,124,29,0,0,0,0,20,11,50,37,52,51,0,134,121,0,100,0,129,84,0,0,0,142,131,0,0,92,0,0,116,0,0,170,114,113
1989,174,0,0,83,124,29,0,0,0,0,21,12,53,43,55,54,0,134,122,0,102,0,130,87,0,0,0,142,132,0,0,94,0,0,118,0,0,170,113,114
1990,174,0,0,87,127,29,0,0,0,159,44,14,82,70,87,84,0,137,125,0,112,0,133,96,0,0,0,142,137,0,64,105,0,0,122,0,0,170,116,117
1991,174,0,0,96,129,30,0,0,0,159,53,17,88,79,91,89,0,138,126,0,116,0,134,100,0,0,0,144,138,0,66,108,0,0,124,0,158,170,121,121
1992,174,0,0,93,144,32,0,0,0,159,57,19,92,85,95,93,0,152,138,0,117,0,147,101,0,0,0,151,151,0,72,109,0,0,136,0,158,170,123,123
1993,174,0,0,103,146,34,0,0,0,159,62,21,95,88,98,96,0,154,141,0,119,0,150,104,0,0,0,157,154,0,77,112,0,0,139,0,158,170,135,135
1994,174,0,0,103,146,34,0,0,0,159,66,23,100,93,105,101,0,155,142,0,122,0,151,108,0,0,0,160,156,0,80,117,0,0,139,0,158,170,138,138
1995,174,0,0,116,151,35,0,0,0,160,81,32,119,111,122,120,0,158,146,0,142,0,155,130,0,0,0,162,158,0,86,139,0,0,144,0,158,170,140,139
1996,174,0,0,122,151,35,0,0,0,160,90,37,123,115,127,124,0,159,146,0,144,0,157,131,0,0,0,164,159,0,88,141,0,0,145,0,158,170,145,144
1997,175,0,0,124,152,35,0,0,0,161,106,40,130,124,134,131,0,159,148,0,146,0,160,133,0,0,0,166,159,0,94,143,0,0,146,0,158,170,146,146
1998,175,0,0,128,154,35,0,0,0,161,118,48,137,131,141,138,0,160,150,0,146,0,160,134,0,0,0,166,160,0,97,144,0,0,148,0,158,170,147,147
1999,175,0,0,123,154,36,0,0,0,161,125,53,141,135,145,142,0,160,150,0,147,0,161,136,0,0,0,167,161,0,101,145,0,0,148,0,158,170,149,149
2000,177,0,0,144,157,36,0,0,0,162,146,73,155,149,159,155,0,163,152,0,152,0,162,141,0,0,0,168,162,0,101,149,0,0,151,0,158,170,152,152
2001,177,0,0,146,158,36,0,0,0,162,152,77,158,154,161,158,0,163,154,0,152,0,162,142,0,0,0,167,162,0,103,149,0,0,152,0,158,170,155,155
2002,177,0,0,146,158,36,0,0,0,162,156,79,161,158,163,161,0,163,154,0,152,0,162,143,0,0,0,168,162,0,103,149,0,0,152,0,158,170,154,155
